Entity;Code;Year;Depressive disorders(%)
Peru;PER;2016;2.54543581837
Philippines;PHL;2016;2.99688184097
Poland;POL;2016;2.48246181331
Portugal;PRT;2016;5.01562227425
Puerto Rico;PRI;2016;3.49393320049
Qatar;QAT;2016;3.84126516694
Romania;ROU;2016;2.6330732976199998
Russia;RUS;2016;4.06344906498
Rwanda;RWA;2016;4.47385139833
Saint Lucia;LCA;2016;3.37057441994
Saint Vincent and the Grenadines;VCT;2016;3.4238811435899996
Samoa;WSM;2016;3.3347254663499997
Sao Tome and Principe;STP;2016;3.61680042476
Saudi Arabia;SAU;2016;3.67435266511
Scotland;;2016;4.45899262987
Senegal;SEN;2016;3.9358181604299998
Serbia;SRB;2016;2.8582742945399997
Seychelles;SYC;2016;3.07474087118
Sierra Leone;SLE;2016;4.17599340226
Singapore;SGP;2016;3.7079039384
Slovakia;SVK;2016;2.64770651288
Slovenia;SVN;2016;3.2015020285
Solomon Islands;SLB;2016;3.4291382089199995
Somalia;SOM;2016;4.30990148321
South Africa;ZAF;2016;4.15564803223
South Asia;;2016;3.90083764608
South Korea;KOR;2016;4.00334971568
South Sudan;SSD;2016;4.252548062570001
Southeast Asia;;2016;3.0801178491899996
Southern Latin America;;2016;3.9513928799899998
Southern Sub-Saharan Africa;;2016;4.10674863731
Spain;ESP;2016;3.79297020811
Sri Lanka;LKA;2016;3.64197401968
Sub-Saharan Africa;;2016;4.29824848936
Sudan;SDN;2016;4.1029286878899995
Suriname;SUR;2016;4.77026080209
Swaziland;SWZ;2016;4.56953600389
Sweden;SWE;2016;4.9661645190999995
Switzerland;CHE;2016;3.87303679902
Syria;SYR;2016;3.87474950284
Taiwan;TWN;2016;3.22172739334
Tajikistan;TJK;2016;2.84606261696
Tanzania;TZA;2016;4.176996555810001
Thailand;THA;2016;3.38281153788
Timor;TLS;2016;3.4935099841899997
Togo;TGO;2016;4.19031342978
Tonga;TON;2016;3.2008972774399997
Trinidad and Tobago;TTO;2016;3.92605890086
Tropical Latin America;;2016;3.71391368917
Tunisia;TUN;2016;4.2111876844400005
Turkey;TUR;2016;3.8881379288500004
Turkmenistan;TKM;2016;3.13417169483
Uganda;UGA;2016;5.61677041171
Ukraine;UKR;2016;4.51583364678
United Arab Emirates;ARE;2016;3.12807902597
United Kingdom;GBR;2016;4.34329813975
United States;USA;2016;5.17176807352
United States Virgin Islands;VIR;2016;3.48809635188
Uruguay;URY;2016;3.8591312595400002
Uzbekistan;UZB;2016;3.1762251148300003
Vanuatu;VUT;2016;3.40926448847
Venezuela;VEN;2016;3.08922785866
Vietnam;VNM;2016;3.2239073467
Wales;;2016;4.3376746626400005
Western Europe;;2016;4.20926847304
Western Sub-Saharan Africa;;2016;4.20522288283
World;OWID_WRL;2016;3.7748799933800004
Yemen;YEM;2016;4.3509729123600005
Zambia;ZMB;2016;4.16380710342
Zimbabwe;ZWE;2016;3.5996299687699995
