Entity;Code;Year;Per capita CO₂ emissions (tonnes per capita);GDP per capita (2011 int-$) ($);Total population (Gapminder)
Nicaragua;NIC;2016;0.834;5045;
Yemen;YEM;2016;0.819;2506;
Djibouti;DJI;2016;0.796;3064;
Zimbabwe;ZWE;2016;0.69;1534;
Mauritania;MRT;2016;0.656;3407;
Congo;COG;2016;0.638;5974;
Vanuatu;VUT;2016;0.629;;
Tajikistan;TJK;2016;0.625;3991;
Palestine;PSE;2016;0.615;;
Kiribati;KIR;2016;0.612;;
Benin;BEN;2016;0.602;2080;
Sao Tome and Principe;STP;2016;0.6;3624;
Senegal;SEN;2016;0.584;2403;
Nigeria;NGA;2016;0.55;5360;
Ghana;GHA;2016;0.538;3878;
Bangladesh;BGD;2016;0.506;3604;
Cote d'Ivoire;CIV;2016;0.5;3395;
Cambodia;KHM;2016;0.48;3251;
Myanmar;MMR;2016;0.46;5284;
Timor;TLS;2016;0.418;;
Sudan;SDN;2016;0.404;3651;
Solomon Islands;SLB;2016;0.384;;
Togo;TGO;2016;0.356;1400;
Afghanistan;AFG;2016;0.338;1929;
Cameroon;CMR;2016;0.317;2828;
Nepal;NPL;2016;0.315;2435;
Laos;LAO;2016;0.309;5859;
Mozambique;MOZ;2016;0.304;1113;
Kenya;KEN;2016;0.301;3169;
Haiti;HTI;2016;0.278;1728;
Zambia;ZMB;2016;0.275;3479;
Gambia;GMB;2016;0.26;1788;
Tanzania;TZA;2016;0.217;2660;
Liberia;LBR;2016;0.21;829;
Guinea;GIN;2016;0.206;1417;
Comoros;COM;2016;0.201;1702;
Sierra Leone;SLE;2016;0.184;1619;
Burkina Faso;BFA;2016;0.159;1483;
Guinea-Bissau;GNB;2016;0.154;1436;
Uganda;UGA;2016;0.129;1980;
South Sudan;SSD;2016;0.128;;
Madagascar;MDG;2016;0.121;1381;
Ethiopia;ETH;2016;0.116;1635;
Niger;NER;2016;0.104;925;
Mali;MLI;2016;0.082;1594;
Rwanda;RWA;2016;0.073;1758;
Malawi;MWI;2016;0.071;1112;
Central African Republic;CAF;2016;0.067;589;
Democratic Republic of Congo;COD;2016;0.062;836;
Chad;TCD;2016;0.053;2189;
Somalia;SOM;2016;0.045;;
Burundi;BDI;2016;0.044;665;
Taiwan;TWN;2016;;42165;
Puerto Rico;PRI;2016;;35082;
Czechoslovakia;OWID_CZS;2016;;27738;
Former USSR;;2016;;18635;
Former Yugoslavia;;2016;;15416;
